"";"specimen_ID";"laboratory";"species";"station_name";"organ";"fat_percentage";"HCB";"AHCH";"BHCH";"LINDAN";"DDE";"DDD";"DDT";"CB28";"CB52";"CB101";"CB118_CLC_analysis";"CB153";"CB138";"CB180";"CB138and163"
"79";"C2019/00250";"SU";"Uria aalge";"Stora Kalso";"Egg content";"14";"475";"<2";"61";"<2";"5321";"<2";"NA";"42";"2.9";"<2";"533";"710";NA;"167";"832"
"80";"C2019/00251";"SU";"Uria aalge";"Stora Kalso";"Egg content";"13";"561";"<2";"76";"<2";"5659";"<2";"NA";"38";"2.4";"<2";"428";"495";NA;"100";"865"
"81";"C2019/00252";"SU";"Uria aalge";"Stora Kalso";"Egg content";"13";"490";"<2";"79";"<2";"6619";"6.4";"NA";"43";"5.2";"5";"707";"1743";NA;"519";"1349"
"82";"C2019/00253";"SU";"Uria aalge";"Stora Kalso";"Egg content";"13";"629";"<2";"74";"<2";"7963";"<2";"NA";"56";"3.6";"<2";"760";"1705";NA;"489";"1286"
"83";"C2019/04401-04450";"SU";"Mytilus edulis";"Kvadofjarden";"Soft tissue";"1.3";"3.7";"<3";"4.8";"<3";"23";"4.5";"7.2";"<3";"<3";"NA";"5.7";"25";NA;"<3";"13"
"84";"C2019/04508-04557";"SU";"Mytilus edulis";"Kvadofjarden";"Soft tissue";"1.5";"4.4";"<3";"4.9";"<3";"26";"5.2";"7.7";"<3";"<3";"NA";"6.4";"26";NA;"3.1";"15"
"85";"C2019/03270-03281";"SU";"Clupea harengus";"Ranefjarden";"Muscle";"2.7";"21";"<4";"<4";"<4";"36";"4.6";"10";"<4";"<4";"18";"13";"42";NA;"15";"29"
"86";"C2019/03282-03293";"SU";"Clupea harengus";"Ranefjarden";"Muscle";"2";"15";"<3";"<3";"<3";"32";"3.7";"8.3";"<3";"<3";"14";"12";"41";NA;"14";"29"
"87";"C2019/06768-06779";"SU";"Gadus morhua";"SO Gotland";"Liver";"38";"23";"<3";"6.3";"<3";"422";"116";"84";"4.9";"12";"58";"74";"184";NA;"48";"134"
"88";"C2019/06780-06791";"SU";"Gadus morhua";"SO Gotland";"Liver";"40";"21";"<4";"6.5";"<4";"410";"102";"80";"4";"10";"55";"70";"185";NA;"50";"131"
"89";"C2019/05249-05260";"SU";"Gadus morhua";"Fladen";"Liver";"28";"11";"<1";"<1";"<1";"190";"15";"12";"3.5";"3.4";"24";"69";"318";NA;"53";"179"
"90";"C2019/05261-05272";"SU";"Gadus morhua";"Fladen";"Liver";"26";"8.6";"<1";"<1";"<1";"183";"13";"14";"3.6";"3.5";"25";"67";"324";NA;"47";"171"
"91";"C2019/05459-05478";"SU";"Mytilus edulis";"Fjallbacka";"Soft tissue";"1.4";"<3";"<3";"<3";"<3";"19";"3.7";"NA";"<3";"6.1";"NA";"38";"85";NA;"4.8";"54"
"92";"C2019/05499-05518";"SU";"Mytilus edulis";"Fjallbacka";"Soft tissue";"1.2";"<3";"<3";"<3";"<3";"15";"3.4";"NA";"<3";"5.2";"NA";"32";"68";NA;"3.3";"46"
"93";"C2019/03385-03396";"SU";"Clupea harengus";"Gaviksfjarden";"Muscle";"3.3";"16";"<4";"<4";"<4";"52";"8.5";"9";"<4";"<4";"15";"14";"50";NA;"19";"34"
"94";"C2019/03397-03408";"SU";"Clupea harengus";"Gaviksfjarden";"Muscle";"2.9";"16";"<3";"<3";"<3";"53";"7.4";"9";"<3";"<3";"16";"13";"48";NA;"17";"33"
"95";"C2019/06354-06365";"SU";"Clupea harengus";"Abbekas";"Muscle";"2.4";"13";"<3";"4.3";"<3";"143";"20";"28";"3";"5.2";"25";"20";"74";NA;"11";"46"
"96";"C2019/06366-06377";"SU";"Clupea harengus";"Abbekas";"Muscle";"2.3";"14";"<3";"4.5";"<3";"152";"24";"32";"3.5";"6.2";"28";"21";"81";NA;"12";"49"
"97";"C2019/05304-05315";"SU";"Clupea harengus";"Kullen";"Muscle";"10";"5.9";"<1";"<1";"<1";"36";"5.7";"10";"1.7";"1.8";"9.5";"6.8";"24";NA;"3.1";"15"
"98";"C2019/05316-05327";"SU";"Clupea harengus";"Kullen";"Muscle";"8.7";"6.6";"<1";"1.3";"<1";"33";"5.4";"10";"1.8";"2.4";"9.3";"6.7";"22";NA;"2.9";"15"
"99";"C2019/05695-05714";"SU";"Mytilus edulis";"Nidingen";"Soft tissue";"1";"<4";"<4";"<4";"<4";"7.3";"<4";"<6";"<4";"<4";"NA";"<4";"14";NA;"<4";"8"
"100";"C2019/07241-07252";"SU";"Clupea harengus";"Byxelkrok";"Muscle";"1.1";"22";"<3";"3.8";"<3";"212";"42";"38";"3.3";"6.8";"27";"24";"70";NA;"16";"49"
"101";"C2019/07253-07264";"SU";"Clupea harengus";"Byxelkrok";"Muscle";"1.2";"24";"<3";"3.9";"<3";"224";"40";"34";"3.8";"7.5";"28";"25";"81";NA;"21";"56"
