"";"specimen_ID";"laboratory";"species";"station_name";"organ";"fat_percentage";"BDE28";"BDE47";"BDE99";"BDE100";"BDE153";"BDE154";"HBCD"
"1";"C2018/02088-02099";"SFA";"Salvelinus";"Abiskojaure";"Muscle";"1.7";"<0.15";"4.33";"9.46";"3.58";"0.929";"1.36";"0.364"
"2";"C2018/02100-02111";"SFA";"Salvelinus";"Abiskojaure";"Muscle";"1.67";"<0.15";"5.67";"12.6";"5.54";"1.17";"1.86";"0.634"
"3";"C2018/00067-00078";"SFA";"Esox lucius";"Bolmen";"Muscle";"0.74";"0.188";"7.79";"1.69";"3.23";"0.815";"3.05";"0.277"
"4";"C2018/00079-00090";"SFA";"Esox lucius";"Bolmen";"Muscle";"0.83";"0.318";"9.15";"1.17";"3.64";"0.769";"3.89";"0.641"
"5";"C2018/05015-05026";"SFA";"Perca fluviatilis";"Horsan";"Muscle";"0.78";"0.309";"4.97";"2.75";"1.81";"0.721";"2.96";"0.426"
"6";"C2018/05027-05038";"SFA";"Perca fluviatilis";"Horsan";"Muscle";"0.86";"0.203";"2.96";"1.77";"0.945";"0.328";"1.52";"0.431"
"7";"C2018/01157-01168";"SFA";"Perca fluviatilis";"Krankesjon";"Muscle";"0.69";"0.193";"<0.96";"0.655";"<0.15";"0.212";"<0.15";"0.326"
"8";"C2018/01169-01180";"SFA";"Perca fluviatilis";"Krankesjon";"Muscle";"0.8";"<0.13";"<0.83";"<0.41";"<0.13";"0.219";"0.158";"<0.25"
"9";"C2018/00465-00476";"SFA";"Perca fluviatilis";"Skargolen";"Muscle";"0.72";"<0.14";"<0.92";"1.17";"0.378";"0.444";"0.969";"0.394"
"10";"C2018/00477-00488";"SFA";"Perca fluviatilis";"Skargolen";"Muscle";"0.72";"<0.14";"<0.92";"1.27";"0.25";"0.368";"0.632";"0.568"
"11";"C2018/01400-00411";"SFA";"Perca fluviatilis";"Stensjon";"Muscle";"0.68";"<0.15";"1.52";"1.49";"0.884";"0.526";"1.34";"0.844"
"12";"C2018/01412-01423";"SFA";"Perca fluviatilis";"Stensjon";"Muscle";"0.58";"<0.17";"2.21";"2.7";"0.943";"0.807";"2";"2"
"13";"C2018/02649-02660";"SFA";"Salvelinus";"Stor-Tjultrasket";"Muscle";"1.47";"<0.17";"<1.1";"0.81";"0.404";"0.25";"0.435";"1.61"
"14";"C2018/02661-02672";"SFA";"Salvelinus";"Stor-Tjultrasket";"Muscle";"1.62";"<0.15";"1.04";"<0.49";"0.478";"0.1";"0.428";"1.79"
"15";"C2018/00092-00096";"SFA";"Esox lucius";"Storvindeln";"Muscle";"0.69";"<0.15";"2.58";"3.34";"1.61";"0.733";"1.82";"0.99"
"16";"C2018/00097-00100";"SFA";"Esox lucius";"Storvindeln";"Muscle";"0.79";"<0.13";"2.61";"2.17";"1.48";"0.624";"1.68";"1.28"
"17";"C2018/00381-00392";"SFA";"Perca fluviatilis";"Svartsjon";"Muscle";"0.68";"<0.15";"<0.96";"<0.49";"0.181";"0.165";"0.538";"<0.29"
"18";"C2018/00393-00404";"SFA";"Perca fluviatilis";"Svartsjon";"Muscle";"0.74";"<0.14";"<0.92";"<0.45";"<0.14";"<0.14";"0.632";"0.447"
"19";"C2018/02088-02099";"UMU";"Salvelinus";"Abiskojaure";"Muscle";"1.5";"0.092";"5.4";"10.6";"4.5";"0.89";"1.3";"NA"
"20";"C2018/02100-02111";"UMU";"Salvelinus";"Abiskojaure";"Muscle";"2.1";"0.068";"5";"10.1";"5";"0.89";"1.5";"NA"
"21";"C2018/00067-00078";"UMU";"Esox lucius";"Bolmen";"Muscle";"0.33";"0.64";"17.2";"4.2";"5.5";"1.5";"4.5";"NA"
"22";"C2018/00079-00090";"UMU";"Esox lucius";"Bolmen";"Muscle";"0.32";"0.81";"18.9";"3.9";"6.2";"1.8";"5.1";"NA"
"23";"C2018/05015-05026";"UMU";"Perca fluviatilis";"Horsan";"Muscle";"0.32";"0.47";"13.8";"0.48";"5.3";"1.3";"5.7";"NA"
"24";"C2018/05027-05038";"UMU";"Perca fluviatilis";"Horsan";"Muscle";"0.48";"0.23";"6.1";"2.4";"2";"0.71";"2.5";"NA"
"25";"C2018/01157-01168";"UMU";"Perca fluviatilis";"Krankesjon";"Muscle";"0.4";"0.11";"1.4";"0.63";"0.28";"0.26";"0.41";"NA"
"26";"C2018/01169-01180";"UMU";"Perca fluviatilis";"Krankesjon";"Muscle";"0.45";"0.084";"1.2";"0.59";"0.26";"0.2";"0.36";"NA"
"27";"C2018/00465-00476";"UMU";"Perca fluviatilis";"Skargolen";"Muscle";"0.38";"<0.1";"1.9";"3.9";"0.77";"0.73";"1.5";"NA"
"28";"C2018/00477-00488";"UMU";"Perca fluviatilis";"Skargolen";"Muscle";"0.43";"0.4";"7";"3";"1.5";"0.57";"0.84";"NA"
"29";"C2018/01412-01423";"UMU";"Perca fluviatilis";"Stensjon";"Muscle";"0.47";"0.16";"2.7";"1.7";"1.2";"0.48";"1.4";"NA"
"30";"C2018/02649-02660";"UMU";"Salvelinus";"Stor-Tjultrasket";"Muscle";"1.3";"<0.1";"1.6";"1";"0.59";"0.19";"0.6";"NA"
"31";"C2018/02661-02672";"UMU";"Salvelinus";"Stor-Tjultrasket";"Muscle";"0.95";"<0.1";"3.2";"2.1";"1.2";"0.33";"0.96";"NA"
"32";"C2018/00092-00096";"UMU";"Esox lucius";"Storvindeln";"Muscle";"0.34";"0.19";"3.5";"2.2";"1.7";"0.44";"1.5";"NA"
"33";"C2018/00097-00100";"UMU";"Esox lucius";"Storvindeln";"Muscle";"0.46";"0.18";"2.4";"2.2";"1.6";"0.39";"1.2";"NA"
"34";"C2018/00381-00392";"UMU";"Perca fluviatilis";"Svartsjon";"Muscle";"0.47";"0.069";"1.2";"0.81";"0.42";"0.29";"0.54";"NA"
"35";"C2018/00393-00404";"UMU";"Perca fluviatilis";"Svartsjon";"Muscle";"0.39";"0.16";"1.3";"1.07";"0.46";"0.36";"0.55";"NA"
"36";"C2018/02088-02099";"SU";"Salvelinus";"Abiskojaure";"Muscle";"1.7";NA;"4.5";"11";"4.5";"0.7";"1.3";"<1"
"37";"C2018/02100-02111";"SU";"Salvelinus";"Abiskojaure";"Muscle";"2.5";NA;"4.3";"10";"4.8";"0.64";"1.3";"<0.7"
