"";"specimen_ID";"laboratory";"species";"station_name";"area";"organ";"PFHXA";"PFHPA";"PFOA";"PFNA";"PFDA";"PFUNDA";"PFDODA";"PFTRDA";"PFTEDA";"PFPEDA";"LPFBS";"LPFHXS";"BPFHXS";"PFHXS";"LPFOS";"BPFOS";"PFOS";"LPFDS";"BPFDS";"PFDS";"LFOSA";"BFOSA";"FOSA"
"14";"C2019/02471-02482";"SLU";"Salvelinus alpinus";"Stor-Tjultrasket";"Freshwater";NA;"<0.213";"<0.045";"2.458781362";"<0.02";"<0.028";"0.688406625";"0.284153339";"0.735237718";"0.06116208";"3.480546793";"<0.051";"<0.026";"<0.026";"<0.026";"<0.01";"1.709193017";"1.609193017";"<0.027";"<0.027";"<0.027";"<0.039";"<0.039";"<0.039"
"15";"C2019/00001-00010";"SLU";"Esox lucius";"Bolmen";"Freshwater";NA;"<0.213";"<0.045";"2.136200717";"1.072449952";"5.418904404";"4.648543689";"1.425039678";"3.229330331";"1.235474006";"<0.06";"<0.051";"<0.026";"<0.026";"<0.026";"23.06990365";"1.239164937";"24.30906859";"<0.027";"<0.027";"<0.027";"0.999432141";"<0.039";"0.999432141"
"16";"C2019/00011-00020";"SLU";"Esox lucius";"Bolmen";"Freshwater";NA;"<0.213";"<0.045";"2.184673152";"<0.02";"5.150631681";"3.814962878";"1.082488911";"3.399685764";"1.22906655";"1.627359672";"<0.051";"<0.026";"<0.026";"<0.026";"22.61930026";"0.689781467";"23.30908172";"<0.027";"<0.027";"<0.027";"0.908574673";"<0.039";"0.908574673"
"17";"C2019/00024-00033";"SLU";"Esox lucius";"Storvindeln";"Freshwater";NA;"<0.213";"<0.045";"2.559139785";"0.705433746";"<0.028";"1.112964021";"0.743498962";"1.792629066";"<0.003";"3.364879075";"<0.051";"<0.026";"<0.026";"<0.026";"1.229998727";"0.474301062";"1.704299789";"<0.027";"<0.027";"<0.027";"<0.039";"<0.039";"<0.039"
"18";"C2019/00034-00043";"SLU";"Esox lucius";"Storvindeln";"Freshwater";NA;"<0.213";"<0.045";"2.105079115";"<0.02";"1.241780409";"1.518741904";"0.375188711";"1.951678163";"0.346087865";"1.45161704";"<0.051";"<0.026";"<0.026";"<0.026";"1.081158301";"0.456479598";"1.537637899";"<0.027";"<0.027";"<0.027";"<0.039";"<0.039";"<0.039"
"19";"C2019/01997-02008";"SLU";"Perca fluviatilis";"Horsan";"Freshwater";NA;"<0.213";"<0.045";"1.444091182";"1.428455303";"3.424674643";"1.943049155";"0.212489791";"1.694175013";"0.973513365";"4.005808422";"<0.051";"<0.026";"0.376630743";"0.376630743";"6.334077896";"0.928415476";"7.262493372";"<0.027";"<0.027";"<0.027";"0.29581501";"<0.039";"0.29581501"
"20";"C2019/02009-02020";"SLU";"Perca fluviatilis";"Horsan";"Freshwater";NA;"<0.213";"<0.045";"2.239289981";"0.817104726";"3.67756125";"1.457452884";"0.164815041";"0.616100259";"0.03494976";"<0.06";"<0.051";"<0.026";"0.864111498";"0.864111498";"4.801720357";"0.586009034";"5.387729391";"<0.027";"<0.027";"<0.027";"<0.039";"<0.039";"<0.039"
"21";"C2019/00750-00761";"SLU";"Perca fluviatilis";"Hjartsjon";"Freshwater";NA;"<0.213";"<0.045";"<0.05";"<0.02";"5.630354957";"5.883893589";"3.016924418";"7.835124275";"2.713889482";"<0.06";"<0.051";"<0.026";"<0.026";"<0.026";"10.60443796";"1.033465545";"11.63790351";"<0.027";"<0.027";"<0.027";"<0.039";"<0.039";"<0.039"
"22";"C2019/00601-00612";"SLU";"Perca fluviatilis";"Skargolen";"Freshwater";NA;"<0.213";"<0.045";"<0.05";"<0.02";"5.03299064";"2.467161622";"0.868839784";"2.026450248";"0.326197757";"<0.06";"3.888327242";"<0.026";"<0.026";"<0.026";"3.208692331";"0.541244455";"3.749936786";"<0.027";"<0.027";"<0.027";"<0.039";"<0.039";"<0.039"
"23";"C2019/00613-00624";"SLU";"Perca fluviatilis";"Skargolen";"Freshwater";NA;"<0.213";"<0.045";"2.587472265";"<0.02";"<0.028";"2.348372359";"0.791519147";"2.503989806";"1.071792631";"<0.06";"4.049044768";"<0.026";"<0.026";"<0.026";"3.757622059";"1.265616734";"5.023238793";"<0.027";"<0.027";"<0.027";"<0.039";"<0.039";"<0.039"
"24";"C2019/01158-01169";"SLU";"Perca fluviatilis";"Stensjon";"Freshwater";NA;"<0.213";"1.033243486";"3.338453661";"1.071315085";"2.930796379";"4.070816676";"1.896390347";"5.802229343";"1.24654143";"7.085273647";"<0.051";"<0.026";"<0.026";"<0.026";"4.481982938";"0.33980385";"4.821786788";"<0.027";"<0.027";"<0.027";"<0.039";"<0.039";"<0.039"
"25";"C2019/01170-01181";"SLU";"Perca fluviatilis";"Stensjon";"Freshwater";NA;"<0.213";"<0.045";"2.070111024";"<0.02";"<0.028";"5.057012717";"2.442895385";"6.86382398";"1.867681062";"3.944500013";"<0.051";"<0.026";"<0.026";"<0.026";"4.884052915";"0.531517341";"5.415570256";"<0.027";"<0.027";"<0.027";"<0.039";"<0.039";"<0.039"
